etID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
7056,"2851135","1","Gear","Pens","2009","LEGO Star Wars Tusken Raider Pen",,,,9.99,,,"http://www.1000steine.com/brickset/images/2851135-1.jpg","No","No",0
6948,"2851146","1","Gear","Clothing","2008","LEGO Pirates T-Shirt",,,,14.99,,,,"No","No",0
7046,"2851185","1","Gear","Watches/Clocks","2009","Stormtrooper Adult Watch",,,24.99,29.99,39.99,,"http://www.1000steine.com/brickset/images/2851185-1.jpg","No","No",0
7047,"2851190","1","Gear","Watches/Clocks","2009","Darth Vader Adult Watch",,,24.99,29.99,39.99,29.99,"http://www.1000steine.com/brickset/images/2851190-1.jpg","No","No",0
7048,"2851191","1","Gear","Watches/Clocks","2009","Obi-Wan Kenobi Adult Watch",,,24.99,29.99,,,"http://www.1000steine.com/brickset/images/2851191-1.jpg","No","No",0
7039,"2851192","1","Gear","Watches/Clocks","2009","C-3PO Watch",,,14.99,19.99,29.99,,"http://www.1000steine.com/brickset/images/2851192-1.jpg","No","No",0
7040,"2851193","1","Gear","Watches/Clocks","2009","Darth Maul Watch",,,20.99,24.99,24.99,19.99,"http://www.1000steine.com/brickset/images/2851193-1.jpg","No","No",0
7041,"2851194","1","Gear","Watches/Clocks","2009","Han Solo Watch",,,14.99,19.99,,,"http://www.1000steine.com/brickset/images/2851194-1.jpg","No","No",0
7042,"2851195","1","Gear","Watches/Clocks","2009","Obi-Wan Kenobi Watch",,,14.99,19.99,29.99,19.99,"http://www.1000steine.com/brickset/images/2851195-1.jpg","No","No",0
7043,"2851196","1","Gear","Watches/Clocks","2009","Classic Brick Adult Watch",,,24.99,29.99,39.99,29.99,"http://www.1000steine.com/brickset/images/2851196-1.jpg","No","No",0
7049,"2851198","1","Gear","Watches/Clocks","2009","Luke Skywalker & Han Solo Adult Watch",,,24.99,29.99,39.99,,"http://www.1000steine.com/brickset/images/2851198-1.jpg","No","No",0
7119,"2851425","1","Gear","Books/Bionicle","2008","Makuta's Guide to the Universe",,,9.99,14.99,,,"http://www.1000steine.com/brickset/images/2851425-1.jpg","No","No",0
9109,"2853101","1","Gear","Miscellaneous","2011","Gift Card",,,,,,,,"No","No",0
9110,"2853124","1","Gear","Miscellaneous","2011","Gift Card Reload",,,,,,,,"No","No",0
7240,"2853367","1","Gear","CD/DVDs","2009","BIONICLE: The Legend Reborn",,,15.99,19.99,,,"http://www.1000steine.com/brickset/images/2853367-1.jpg","No","No",0
7552,"2853399","1","Gear","Watches/Clocks","2009","Space Police Watch",,,14.99,19.99,29.99,,"http://www.1000steine.com/brickset/images/2853399-1.jpg","No","No",0
7553,"2853401","1","Gear","Watches/Clocks","2009","Power Miners Watch",,,14.99,19.99,29.99,,"http://www.1000steine.com/brickset/images/2853401-1.jpg","No","No",0
7237,"2853505","1","Gear","Stationery","2009","LEGO UK Charity Calendar 2010",,,7.99,,,,"http://www.1000steine.com/brickset/images/2853505-1.jpg","No","No",0
7294,"2853508","1","Gear","Books/Dorling Kindersley","2009","LEGO Star Wars: The Visual Dictionary",1,,,21.99,24.99,,"http://www.1000steine.com/brickset/images/2853508-1.jpg","No","No",0
7541,"2853586","1","Gear","Video Games/Wii","2009","LEGO Rock Band",,,34.99,39.99,39.99,,"http://www.1000steine.com/brickset/images/2853586-1.jpg","No","No",0
7542,"2853587","1","Gear","Video Games/DS","2009","LEGO Rock Band",,,29.99,19.99,,,"http://www.1000steine.com/brickset/images/2853587-1.jpg","No","No",0
7543,"2853591","1","Gear","Video Games/Xbox 360","2009","LEGO Rock Band",,,39.99,39.99,39.99,,"http://www.1000steine.com/brickset/images/2853591-1.jpg","No","No",0
7544,"2853592","1","Gear","Video Games/PS3","2009","LEGO Rock Band",,,39.99,39.99,39.99,,"http://www.1000steine.com/brickset/images/2853592-1.jpg","No","No",0
7554,"2853593","1","Gear","Video Games/Xbox 360","2009","LEGO Indiana Jones 2: The Adventure Continues",,,39.99,49.99,49.99,,"http://www.1000steine.com/brickset/images/2853593-1.jpg","No","No",0
7555,"2853594","1","Gear","Video Games/PS3","2009","LEGO Indiana Jones 2: The Adventure Continues",,,39.99,49.99,49.99,,"http://www.1000steine.com/brickset/images/2853594-1.jpg","No","No",0
7556,"2853595","1","Gear","Video Games/PSP","2009","LEGO Indiana Jones 2: The Adventure Continues",,,29.99,29.99,,,"http://www.1000steine.com/brickset/images/2853595-1.jpg","No","No",0
7557,"2853596","1","Gear","Video Games/Wii","2009","LEGO Indiana Jones 2: The Adventure Continues",,,39.99,49.99,,,"http://www.1000steine.com/brickset/images/2853596-1.jpg","No","No",0
7558,"2853597","1","Gear","Video Games/DS","2009","LEGO Indiana Jones 2: The Adventure Continues",,,29.99,29.99,,,"http://www.1000steine.com/brickset/images/2853597-1.jpg","No","No",0
7559,"2853656","1","Gear","Furniture","2009","3-Seat Playtable",,,,299.99,329.99,,"http://www.1000steine.com/brickset/images/2853656-1.jpg","No","No",0
8702,"2853662","1","Gear","Key Chains/Town","2011","LEGO Minifigure Key Light",,,,,,,"http://www.1000steine.com/brickset/images/2853662-1.jpg","No","No",0
8615,"2853694","1","Gear","Video Games/PC","2009","LEGO Indiana Jones 2: The Adventure Continues",,,19.99,,,,"http://www.1000steine.com/brickset/images/2853694-1.jpg","No","No",0
9653,"2853832","1","Gear","Storage","2012","LEGO Storage Stool",,,,,,,"http://www.1000steine.com/brickset/images/2853832-1.jpg","No","No",0
7897,"2854298","1","Gear","CD/DVDs","2010","The Adventures of Clutch Powers DVD",,,14.99,19.99,19.99,,"http://www.1000steine.com/brickset/images/2854298-1.jpg","No","No",0
8068,"2855028","1","Gear","Magnets/Miscelleneous","2010","Exclusive Spaceman Magnet",1,,,,,,"http://www.1000steine.com/brickset/images/2855028-1.jpg","No","No",0
8223,"2855041","1","Gear","Magnets/Bricktober","2010","Imperial Soldier ",,,,,,,"http://www.1000steine.com/brickset/images/2855041-1.jpg","No","No",0
8221,"2855044","1","Gear","Magnets/Bricktober","2010","Cavalry Colonel ",,,,,,,"http://www.1000steine.com/brickset/images/2855044-1.jpg","No","No",0
8222,"2855045","1","Gear","Magnets/Bricktober","2010","Fire Chief ",,,,,,,"http://www.1000steine.com/brickset/images/2855045-1.jpg","No","No",0
8220,"2855046","1","Gear","Magnets/Bricktober","2010","Black Falcon ",1,,,,,,"http://www.1000steine.com/brickset/images/2855046-1.jpg","No","No",0
8847,"2855057","1","Gear","Watches/Clocks","2011","Stormtrooper Kids' Watch",,,20.99,24.99,24.99,19.99,"http://www.1000steine.com/brickset/images/2855057-1.jpg","No","No",0
9117,"2855113","1","Gear","Books/Dorling Kindersley/Brickmaster","2011","Brickmaster Star Wars",,,18.99,,,,"http://www.1000steine.com/brickset/images/2855113-1.jpg","No","No",0
8062,"2855123","1","Gear","Video Games/Wii","2010","LEGO Harry Potter: Years 1-4 Video Game",,,39.99,49.99,49.99,,"http://www.1000steine.com/brickset/images/2855123-1.jpg","No","No",0
8059,"2855124","1","Gear","Video Games/DS","2010","LEGO Harry Potter: Years 1-4 Video Game",,,29.99,29.99,29.99,,"http://www.1000steine.com/brickset/images/2855124-1.jpg","No","No",0
8063,"2855125","1","Gear","Video Games/Xbox 360","2010","LEGO Harry Potter: Years 1-4 Video Game",,,44.99,49.99,49.99,,"http://www.1000steine.com/brickset/images/2855125-1.jpg","No","No",0
8061,"2855127","1","Gear","Video Games/PS3","2010","LEGO Harry Potter: Years 1-4 Video Game",,,44.99,49.99,49.99,,"http://www.1000steine.com/brickset/images/2855127-1.jpg","No","No",0
8060,"2855128","1","Gear","Video Games/PC","2010","LEGO Harry Potter: Years 1-4 Video Game",,,24.99,29.99,29.99,,"http://www.1000steine.com/brickset/images/2855128-1.jpg","No","No",0
8064,"2855129","1","Gear","Video Games/PSP","2010","LEGO Harry Potter: Years 1-4 Video Game",,,,29.99,29.99,,"http://www.1000steine.com/brickset/images/2855129-1.jpg","No","No",0
8072,"2855162","1","Gear","Video Games/Xbox 360","2010","Harry Potter: Years 1-4 Video Game Collector's Edition",,,44.99,,,,"http://www.1000steine.com/brickset/images/2855162-1.jpg","No","No",0
8071,"2855163","1","Gear","Video Games/Wii","2010","Harry Potter: Years 1-4 Video Game Collector's Edition",,,39.99,,,,"http://www.1000steine.com/brickset/images/2855163-1.jpg","No","No",0
8070,"2855164","1","Gear","Video Games/PS3","2010","Harry Potter: Years 1-4 Video Game Collector's Edition",,,44.99,,,,"http://www.1000steine.com/brickset/images/2855164-1.jpg","No","No",0
8620,"2855167","1","Gear","Magnets/Seasonal","2010","Holiday Santa Magnet 2010",1,,,,,,"http://www.1000steine.com/brickset/images/2855167-1.jpg","No","No",0
8430,"2856027","1","Gear","Books/Game guides","2010","LEGO Universe: Prima Official Game Guide",,,12.99,19.99,22.99,19.99,"http://www.1000steine.com/brickset/images/2856027-1.jpg","No","No",0
8689,"2856028","1","Gear","Miscellaneous","2011","LEGO Minifigure 2GB USB Flash Drive",,,,24.99,27.49,,"http://www.1000steine.com/brickset/images/2856028-1.jpg","No","No",0
8432,"2856061","1","Gear","Books/BrickJournal","2010","BrickJournal #12",,,5.99,8.95,,,"http://www.1000steine.com/brickset/images/2856061-1.jpg","No","No",0
8433,"2856076","1","Gear","CD/DVDs","2010","LEGO Hero Rise of the Rookies DVD",,,,14.99,19.99,,"http://www.1000steine.com/brickset/images/2856076-1.jpg","No","No",0
7350,"2856077","1","Gear","Books/Dorling Kindersley/Brickmaster","2010","Brickmaster Star Wars",2,,,29.99,32.99,,"http://www.1000steine.com/brickset/images/2856077-1.jpg","No","No",0
